registration_date,registration_country,purchase_count,purchase_count_delivery,purchase_count_takeaway,first_purchase_day,last_purchase_day,user_id,breakfast_purchases,lunch_purchases,evening_purchases,dinner_purchases,late_night_purchases,total_purchases_eur,distinct_purchase_venue_count,min_purchase_value_eur,max_purchase_value_eur,avg_purchase_value_eur,preferred_device,ios_purchases,web_purchases,android_purchases,user_has_valid_payment_method,most_common_hour_of_the_day_to_purchase,most_common_weekday_to_purchase,average_delivery_distance_kms,general merchandise,grocery,pet supplies,restaurant,retail store,recencia,frequencia,monetariedade,recencia_score,frequencia_score,monetariedade_score,rfm_score,segmento,categoria_rfm,cluster
2019-09-01,FIN,2,2.0,0.0,2019-09-02,2019-09-03,54,0.0,0.0,0.0,2.0,0.0,63.756,2.0,23.322,41.656,32.384,android,0.0,0.0,2.0,True,13.0,5.0,6.934,0,0,0,2,0,426,2,63.756,1,2,3,12,adormecidos,inativos,3
2019-09-01,GRC,1,1.0,0.0,2019-09-01,2019-09-01,55,1.0,0.0,0.0,0.0,0.0,6.072,1.0,6.084,6.096,6.072,android,0.0,0.0,1.0,False,23.0,1.0,3.596,0,0,0,1,0,428,1,6.072,1,1,1,11,adormecidos,inativos,0
2019-09-01,FIN,2,2.0,0.0,2019-09-01,2019-09-22,57,2.0,0.0,0.0,0.0,0.0,38.456,2.0,16.224,22.352,19.228,ios,2.0,0.0,0.0,True,7.0,7.0,4.817,0,0,0,2,0,407,2,38.456,1,2,2,12,adormecidos,inativos,0
2019-09-01,GRC,4,4.0,0.0,2020-01-08,2020-06-16,58,0.0,4.0,0.0,0.0,0.0,33.396,4.0,8.112,9.144,8.096,android,0.0,2.0,2.0,True,11.0,7.0,1.836,0,0,0,4,0,139,4,33.396,3,3,2,33,precisam_de_carinho,em_risco,2
2019-09-01,FIN,3,3.0,0.0,2019-09-01,2019-09-11,59,1.0,1.0,1.0,0.0,0.0,91.08,2.0,19.266,38.608,30.36,android,0.0,0.0,3.0,True,8.0,4.0,3.167,0,0,0,3,0,418,3,91.08,1,3,3,13,em_risco,em_risco,3
2019-09-01,GRC,1,1.0,0.0,2019-09-01,2019-09-01,60,1.0,0.0,0.0,0.0,0.0,7.084,1.0,7.098,7.112,7.084,android,0.0,0.0,1.0,True,21.0,7.0,4.256,0,0,0,1,0,428,1,7.084,1,1,1,11,adormecidos,inativos,0
2019-09-01,GRC,1,1.0,0.0,2020-07-23,2020-07-23,65,0.0,1.0,0.0,0.0,0.0,8.096,1.0,8.112,8.128,8.096,android,0.0,0.0,1.0,True,21.0,2.0,3.963,0,0,0,1,0,102,1,8.096,3,1,1,31,quase_inativos,inativos,2
2019-09-01,FIN,8,8.0,0.0,2019-11-16,2020-10-25,66,0.0,2.0,0.0,5.0,0.0,276.276,6.0,11.154,68.072,34.408,android,4.0,0.0,4.0,False,12.0,4.0,9.94,0,0,0,4,4,8,8,276.276,5,4,5,54,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,1,1.0,0.0,2019-10-10,2019-10-10,67,0.0,0.0,0.0,1.0,0.0,17.204,1.0,17.238,17.272,17.204,ios,1.0,0.0,0.0,True,10.0,1.0,8.677,0,0,0,1,0,389,1,17.204,2,1,1,21,adormecidos,inativos,0
2019-09-01,GRC,16,16.0,0.0,2020-02-27,2020-10-26,70,0.0,11.0,0.0,5.0,0.0,322.828,7.0,6.084,35.56,20.24,ios,16.0,0.0,0.0,True,18.0,2.0,4.94,0,0,0,8,8,7,16,322.828,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,71,0.0,1.0,0.0,0.0,0.0,27.324,1.0,27.378,27.432,27.324,ios,1.0,0.0,0.0,True,4.0,1.0,8.043,0,0,0,1,0,428,1,27.324,1,1,1,11,adormecidos,inativos,0
2019-09-01,FIN,13,13.0,0.0,2019-09-07,2020-02-27,72,1.0,6.0,1.0,5.0,0.0,270.204,2.0,16.224,25.4,21.252,android,0.0,0.0,13.0,False,20.0,5.0,10.143,1,6,0,6,0,249,13,270.204,2,5,5,25,nao_podemos_perder,em_risco,1
2019-09-01,FIN,1,1.0,0.0,2020-01-03,2020-01-03,75,0.0,0.0,0.0,1.0,0.0,41.492,1.0,41.574,41.656,41.492,ios,0.0,1.0,0.0,True,20.0,6.0,1.881,0,0,0,1,0,304,1,41.492,2,1,2,21,adormecidos,inativos,0
2019-09-01,DNK,1,1.0,0.0,2020-09-26,2020-09-26,76,0.0,0.0,0.0,1.0,0.0,27.324,1.0,27.378,27.432,27.324,ios,1.0,0.0,0.0,False,3.0,5.0,3.941,0,0,0,1,0,37,1,27.324,4,1,1,41,promissores,otimos_clientes,2
2019-09-01,FIN,6,4.0,2.0,2020-04-09,2020-10-18,78,0.0,3.0,0.0,3.0,0.0,105.248,6.0,12.168,23.368,17.204,android,0.0,0.0,6.0,False,16.0,2.0,8.59,0,0,0,3,3,15,6,105.248,5,4,3,54,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,3,3.0,0.0,2020-09-04,2020-09-20,79,0.0,2.0,0.0,1.0,0.0,74.888,3.0,21.294,32.512,25.3,android,0.0,0.0,3.0,False,16.0,2.0,8.265,0,0,0,3,0,43,3,74.888,4,3,3,43,quase_fieis,otimos_clientes,2
2019-09-01,GRC,320,320.0,0.0,2019-09-01,2020-02-29,80,37.0,171.0,34.0,78.0,0.0,4335.408,34.0,6.084,33.528,13.156,web,0.0,196.0,124.0,True,3.0,4.0,4.407,0,0,0,160,160,247,320,4335.408,2,5,5,25,nao_podemos_perder,em_risco,1
2019-09-01,GRC,2,2.0,0.0,2019-09-17,2019-10-22,81,0.0,0.0,2.0,0.0,0.0,15.18,2.0,7.098,8.128,7.084,android,0.0,0.0,2.0,True,11.0,1.0,11.145,0,0,0,2,0,377,2,15.18,2,2,1,22,adormecidos,inativos,0
2019-09-01,DNK,1,1.0,0.0,2019-10-06,2019-10-06,83,0.0,1.0,0.0,0.0,0.0,21.252,1.0,21.294,21.336,21.252,ios,1.0,0.0,0.0,True,14.0,4.0,8.572,0,0,0,1,0,393,1,21.252,2,1,1,21,adormecidos,inativos,0
2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,85,0.0,1.0,0.0,0.0,0.0,25.3,1.0,25.35,25.4,25.3,ios,1.0,0.0,0.0,True,17.0,3.0,6.434,0,0,0,1,0,428,1,25.3,1,1,1,11,adormecidos,inativos,0
2019-09-01,FIN,1,1.0,0.0,2020-06-16,2020-06-16,87,0.0,0.0,0.0,1.0,0.0,21.252,1.0,21.294,21.336,21.252,android,1.0,0.0,0.0,True,20.0,5.0,2.669,0,0,0,1,0,139,1,21.252,3,1,1,31,quase_inativos,inativos,2
2019-09-01,DNK,1,1.0,0.0,2020-08-23,2020-08-23,88,0.0,1.0,0.0,0.0,0.0,26.312,1.0,26.364,26.416,26.312,ios,1.0,0.0,0.0,True,7.0,6.0,8.52,0,0,0,1,0,71,1,26.312,4,1,1,41,promissores,otimos_clientes,2
2019-09-01,FIN,5,4.0,1.0,2019-09-01,2020-09-26,89,0.0,2.0,0.0,3.0,0.0,135.608,3.0,20.28,35.56,27.324,android,0.0,0.0,5.0,True,19.0,4.0,11.773,0,0,0,5,0,37,5,135.608,4,4,4,44,parceiros_longa_data,otimos_clientes,1
2019-09-01,FIN,5,5.0,0.0,2019-10-14,2020-10-28,91,0.0,1.0,0.0,4.0,0.0,134.596,3.0,22.308,33.528,27.324,ios,5.0,0.0,0.0,False,13.0,6.0,3.669,0,0,0,5,0,5,5,134.596,5,4,4,54,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,2,2.0,0.0,2020-04-15,2020-08-28,93,0.0,1.0,0.0,1.0,0.0,65.78,2.0,26.364,40.64,33.396,android,0.0,0.0,2.0,False,2.0,5.0,1.373,0,0,0,2,0,66,2,65.78,4,2,3,42,quase_fieis,otimos_clientes,2
2019-09-01,FIN,8,8.0,0.0,2019-09-08,2020-07-27,94,0.0,4.0,1.0,3.0,0.0,388.608,3.0,30.42,70.104,48.576,ios,3.0,0.0,5.0,False,8.0,4.0,7.973,0,0,0,4,4,98,8,388.608,3,4,5,34,parceiros_longa_data,otimos_clientes,1
2019-09-01,DNK,1,1.0,0.0,2020-08-06,2020-08-06,97,0.0,1.0,0.0,0.0,0.0,35.42,1.0,35.49,35.56,35.42,ios,1.0,0.0,0.0,True,22.0,1.0,5.024,0,0,0,1,0,88,1,35.42,4,1,2,41,promissores,otimos_clientes,2
2019-09-01,FIN,1,1.0,0.0,2020-05-29,2020-05-29,98,0.0,0.0,0.0,1.0,0.0,49.588,1.0,49.686,49.784,49.588,android,0.0,0.0,1.0,False,23.0,7.0,10.774,0,0,0,1,0,157,1,49.588,3,1,2,31,quase_inativos,inativos,2
2019-09-01,FIN,1,1.0,0.0,2020-02-12,2020-02-12,100,0.0,0.0,1.0,0.0,0.0,48.576,1.0,48.672,48.768,48.576,android,0.0,0.0,1.0,True,8.0,4.0,6.098,0,0,0,1,0,264,1,48.576,2,1,2,21,adormecidos,inativos,0
2019-09-01,DNK,11,10.0,1.0,2020-05-22,2020-10-15,102,0.0,8.0,0.0,3.0,0.0,269.192,6.0,17.238,51.816,24.288,ios,11.0,0.0,0.0,False,20.0,3.0,1.909,1,5,0,5,0,18,11,269.192,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,DNK,2,2.0,0.0,2020-05-01,2020-09-03,103,0.0,0.0,0.0,2.0,0.0,91.08,2.0,40.56,51.816,45.54,ios,2.0,0.0,0.0,False,11.0,4.0,0.989,0,0,0,2,0,60,2,91.08,4,2,3,42,quase_fieis,otimos_clientes,2
2019-09-01,FIN,14,13.0,1.0,2019-10-18,2020-08-09,104,1.0,5.0,2.0,6.0,0.0,387.596,5.0,16.224,44.704,27.324,web,0.0,14.0,0.0,True,5.0,3.0,1.553,0,0,0,7,7,85,14,387.596,4,5,5,45,parceiros_longa_data,otimos_clientes,1
2019-09-01,FIN,17,5.0,12.0,2019-09-21,2020-10-24,106,0.0,9.0,0.0,8.0,0.0,455.4,9.0,10.14,50.8,26.312,android,0.0,0.0,17.0,True,10.0,7.0,3.132,1,8,0,8,0,9,17,455.4,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,GRC,6,6.0,0.0,2020-07-15,2020-10-16,107,0.0,6.0,0.0,0.0,0.0,71.852,2.0,7.098,19.304,12.144,ios,5.0,1.0,0.0,True,5.0,5.0,9.059,0,0,0,3,3,17,6,71.852,5,4,3,54,aliados_ouro,otimos_clientes,1
2019-09-01,DNK,1,1.0,0.0,2019-09-15,2019-09-15,109,0.0,1.0,0.0,0.0,0.0,34.408,1.0,34.476,34.544,34.408,ios,1.0,0.0,0.0,False,18.0,2.0,11.22,0,0,0,1,0,414,1,34.408,1,1,2,11,adormecidos,inativos,0
2019-09-01,DNK,5,4.0,1.0,2019-09-01,2020-07-17,111,0.0,3.0,0.0,2.0,0.0,142.692,5.0,21.294,37.592,28.336,ios,5.0,0.0,0.0,False,13.0,7.0,7.414,0,0,0,5,0,108,5,142.692,3,4,4,34,parceiros_longa_data,otimos_clientes,1
2019-09-01,DNK,2,0.0,2.0,2019-09-01,2019-10-10,112,0.0,2.0,0.0,0.0,0.0,48.576,1.0,24.336,24.384,24.288,web,0.0,2.0,0.0,True,0.0,7.0,6.874,0,0,0,2,0,389,2,48.576,2,2,2,22,adormecidos,inativos,3
2019-09-01,DNK,3,2.0,1.0,2019-12-29,2020-03-03,116,0.0,1.0,0.0,2.0,0.0,86.02,3.0,13.182,46.736,28.336,ios,3.0,0.0,0.0,False,15.0,2.0,8.944,0,0,0,3,0,244,3,86.02,3,3,3,33,precisam_de_carinho,em_risco,3
2019-09-01,FIN,2,2.0,0.0,2019-09-01,2019-09-04,117,0.0,2.0,0.0,0.0,0.0,24.288,2.0,10.14,14.224,12.144,ios,2.0,0.0,0.0,True,23.0,5.0,3.244,0,0,0,2,0,425,2,24.288,1,2,1,12,adormecidos,inativos,0
2019-09-01,DNK,11,2.0,9.0,2019-09-01,2020-10-15,118,0.0,5.0,0.0,6.0,0.0,423.016,3.0,20.28,77.216,38.456,ios,11.0,0.0,0.0,False,21.0,4.0,10.705,1,5,0,5,0,18,11,423.016,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,4,2.0,2.0,2019-10-12,2020-05-23,119,0.0,4.0,0.0,0.0,0.0,72.864,3.0,12.168,22.352,18.216,ios,4.0,0.0,0.0,False,2.0,5.0,2.982,0,0,0,4,0,163,4,72.864,3,3,3,33,precisam_de_carinho,em_risco,3
2019-09-01,DNK,45,45.0,0.0,2019-09-01,2020-10-16,120,0.0,17.0,2.0,26.0,0.0,1189.1,16.0,17.238,46.736,26.312,ios,45.0,0.0,0.0,False,5.0,4.0,1.287,0,22,1,22,0,17,45,1189.1,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,6,6.0,0.0,2019-09-01,2020-10-09,123,0.0,2.0,0.0,4.0,0.0,198.352,4.0,20.28,48.768,33.396,web,0.0,1.0,5.0,True,23.0,1.0,10.059,0,0,0,3,3,24,6,198.352,5,4,4,54,aliados_ouro,otimos_clientes,1
2019-09-01,DNK,17,17.0,0.0,2019-09-06,2020-09-26,124,0.0,4.0,0.0,13.0,0.0,383.548,8.0,14.196,35.56,22.264,ios,17.0,0.0,0.0,False,17.0,6.0,6.768,1,8,0,8,0,37,17,383.548,4,5,5,45,parceiros_longa_data,otimos_clientes,1
2019-09-01,DNK,4,4.0,0.0,2019-09-01,2020-09-01,125,0.0,2.0,0.0,2.0,0.0,73.876,3.0,15.21,22.352,18.216,web,0.0,4.0,0.0,True,6.0,6.0,4.037,0,0,0,4,0,62,4,73.876,4,3,3,43,quase_fieis,otimos_clientes,2
2019-09-01,DNK,1,1.0,0.0,2019-09-01,2019-09-01,126,0.0,1.0,0.0,0.0,0.0,43.516,1.0,43.602,43.688,43.516,android,0.0,0.0,1.0,False,1.0,4.0,3.02,0,0,0,1,0,428,1,43.516,1,1,2,11,adormecidos,inativos,0
2019-09-01,DNK,21,17.0,4.0,2019-09-01,2020-10-31,127,0.0,7.0,0.0,14.0,0.0,704.352,5.0,23.322,53.848,33.396,ios,20.0,1.0,0.0,True,16.0,6.0,10.398,1,10,0,10,0,2,21,704.352,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,DNK,2,2.0,0.0,2019-09-01,2019-09-19,129,0.0,1.0,0.0,1.0,0.0,104.236,2.0,41.574,62.992,51.612,web,1.0,1.0,0.0,True,6.0,5.0,4.856,0,0,0,2,0,410,2,104.236,1,2,3,12,adormecidos,inativos,3
2019-09-01,DNK,3,3.0,0.0,2019-09-28,2020-10-31,131,0.0,2.0,0.0,1.0,0.0,164.956,2.0,39.546,64.008,54.648,web,0.0,2.0,1.0,True,16.0,3.0,8.1,0,0,0,3,0,2,3,164.956,5,3,4,53,quase_fieis,otimos_clientes,1
2019-09-01,DNK,3,1.0,2.0,2019-09-01,2020-09-20,133,0.0,1.0,0.0,2.0,0.0,152.812,3.0,34.476,70.104,50.6,ios,1.0,2.0,0.0,True,15.0,2.0,2.026,0,0,0,3,0,43,3,152.812,4,3,4,43,quase_fieis,otimos_clientes,1
2019-09-01,GRC,1,1.0,0.0,2019-09-03,2019-09-03,134,0.0,1.0,0.0,0.0,0.0,9.108,1.0,9.126,9.144,9.108,android,0.0,0.0,1.0,True,2.0,2.0,2.983,0,0,0,1,0,426,1,9.108,1,1,1,11,adormecidos,inativos,0
2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,135,0.0,1.0,0.0,0.0,0.0,47.564,1.0,47.658,47.752,47.564,ios,1.0,0.0,0.0,False,16.0,2.0,10.265,0,0,0,1,0,428,1,47.564,1,1,2,11,adormecidos,inativos,0
2019-09-01,GRC,1,1.0,0.0,2019-09-01,2019-09-01,136,0.0,1.0,0.0,0.0,0.0,12.144,1.0,12.168,12.192,12.144,android,0.0,0.0,1.0,False,22.0,7.0,2.758,0,0,0,1,0,428,1,12.144,1,1,1,11,adormecidos,inativos,0
2019-09-01,DNK,1,1.0,0.0,2020-09-12,2020-09-12,137,0.0,1.0,0.0,0.0,0.0,40.48,1.0,40.56,40.64,40.48,ios,1.0,0.0,0.0,False,6.0,3.0,9.676,0,0,0,1,0,51,1,40.48,4,1,2,41,promissores,otimos_clientes,2
2019-09-01,FIN,1,1.0,0.0,2019-09-01,2019-09-01,139,0.0,1.0,0.0,0.0,0.0,16.192,1.0,16.224,16.256,16.192,android,0.0,0.0,1.0,False,11.0,2.0,3.813,0,0,0,1,0,428,1,16.192,1,1,1,11,adormecidos,inativos,0
2019-09-01,DNK,4,4.0,0.0,2019-09-01,2019-11-15,140,0.0,2.0,0.0,2.0,0.0,129.536,2.0,17.238,45.72,32.384,web,0.0,4.0,0.0,True,23.0,2.0,9.224,0,0,0,4,0,353,4,129.536,2,3,4,23,em_risco,em_risco,3
2019-09-01,DNK,1,1.0,0.0,2020-10-29,2020-10-29,141,0.0,0.0,0.0,1.0,0.0,10.12,1.0,10.14,10.16,10.12,ios,1.0,0.0,0.0,False,3.0,5.0,6.037,0,0,0,1,0,4,1,10.12,5,1,1,51,recem_chegados,otimos_clientes,2
2019-09-01,DNK,31,31.0,0.0,2019-09-01,2020-10-28,143,1.0,13.0,2.0,15.0,0.0,1392.512,17.0,22.308,125.984,44.528,ios,31.0,0.0,0.0,True,21.0,3.0,10.388,0,15,1,15,0,5,31,1392.512,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,5,5.0,0.0,2019-09-01,2019-12-05,144,0.0,1.0,0.0,4.0,0.0,88.044,4.0,14.196,25.4,17.204,ios,5.0,0.0,0.0,True,5.0,6.0,3.685,0,0,0,5,0,333,5,88.044,2,4,3,24,em_risco,em_risco,3
2019-09-01,DNK,3,3.0,0.0,2019-09-01,2020-02-12,146,0.0,1.0,0.0,2.0,0.0,71.852,2.0,18.252,26.416,24.288,android,0.0,0.0,3.0,False,13.0,2.0,6.456,0,0,0,3,0,264,3,71.852,2,3,3,23,em_risco,em_risco,3
2019-09-01,DNK,26,25.0,1.0,2019-09-01,2020-10-27,147,0.0,12.0,1.0,13.0,0.0,729.652,15.0,13.182,65.024,28.336,android,0.0,1.0,25.0,True,17.0,7.0,5.023,0,0,0,13,13,6,26,729.652,5,5,5,55,aliados_ouro,otimos_clientes,1
2019-09-01,FIN,9,8.0,1.0,2019-09-01,2020-07-30,149,0.0,7.0,0.0,2.0,0.0,736.736,9.0,32.448,288.544,81.972,web,0.0,2.0,7.0,True,21.0,5.0,1.222,1,4,0,4,0,95,9,736.736,4,5,5,45,parceiros_longa_data,otimos_clientes,1
2019-09-01,FIN,2,2.0,0.0,2019-09-01,2019-09-07,150,0.0,2.0,0.0,0.0,0.0,78.936,2.0,36.504,42.672,39.468,ios,2.0,0.0,0.0,True,8.0,5.0,6.517,0,0,0,2,0,422,2,78.936,1,2,3,12,adormecidos,inativos,3
2019-09-01,DNK,10,6.0,4.0,2019-09-05,2020-09-03,151,0.0,4.0,0.0,6.0,0.0,301.576,7.0,7.098,56.896,30.36,ios,5.0,5.0,0.0,True,5.0,1.0,10.411,0,0,0,5,5,60,10,301.576,4,5,5,45,parceiros_longa_data,otimos_clientes,1
2019-09-01,DNK,4,4.0,0.0,2020-10-16,2020-10-31,154,0.0,1.0,0.0,3.0,0.0,268.18,3.0,40.56,135.128,66.792,ios,0.0,4.0,0.0,True,1.0,2.0,9.15,0,0,0,4,0,2,4,268.18,5,3,5,53,quase_fieis,otimos_clientes,1
2019-09-01,GRC,4,3.0,1.0,2019-10-25,2020-02-20,155,0.0,2.0,0.0,2.0,0.0,35.42,4.0,5.07,15.24,9.108,android,0.0,0.0,4.0,True,10.0,3.0,5.421,0,0,0,4,0,256,4,35.42,2,3,2,23,em_risco,em_risco,3
2019-09-01,FIN,1,1.0,0.0,2019-09-02,2019-09-02,156,0.0,1.0,0.0,0.0,0.0,12.144,1.0,12.168,12.192,12.144,android,0.0,0.0,1.0,True,11.0,4.0,10.238,0,0,0,1,0,427,1,12.144,1,1,1,11,adormecidos,inativos,0
